moa_id	attribute	value
MOA_B4DK78?_CHRNA4?_CHRNB2?	canonical	B4DK78? CHRNA4? CHRNB2?
MOA_HRH3?_HRH3?	canonical	HRH3? HRH3?
MOA_CACNA1H?	canonical	CACNA1H?
MOA_PPARA?_PPARG?_PPARG?	canonical	PPARA? PPARG? PPARG?
MOA_ACAT1?	canonical	ACAT1?
MOA_PPARA?	canonical	PPARA?
MOA_CHRFAM7A?_CHRNA7?	canonical	CHRFAM7A? CHRNA7?
MOA_SRC?	canonical	SRC?
MOA_PIM1?_PIM1?_PIM2?_PIM3?	canonical	PIM1? PIM1? PIM2? PIM3?
MOA_MMP12?_MMP9?	canonical	MMP12? MMP9?
MOA_GCK?	canonical	GCK?
MOA_WEE1?	canonical	WEE1?
MOA_PTGDR2?	canonical	PTGDR2?
MOA_MTOR?	canonical	MTOR?
MOA_FLT1?_FLT4?_KDR?	canonical	FLT1? FLT4? KDR?
MOA_CCR2?_CCR2?	canonical	CCR2? CCR2?
MOA_TACR3?	canonical	TACR3?
MOA_MPO?	canonical	MPO?
MOA_GABBR1?_GABBR2?_Q59HG8?	canonical	GABBR1? GABBR2? Q59HG8?
MOA_HSD11B1?	canonical	HSD11B1?
MOA_FGFR1?_FGFR2?_FGFR2?_FGFR3?_FGFR3?	canonical	FGFR1? FGFR2? FGFR2? FGFR3? FGFR3?
MOA_CXCR2?	canonical	CXCR2?
MOA_AKT1?	canonical	AKT1?
MOA_ATR?	canonical	ATR?
MOA_GRIN2A?_GRIN2B?	canonical	GRIN2A? GRIN2B?
MOA_OPRD1?	canonical	OPRD1?
MOA_GABRA2?_GABRA3?	canonical	GABRA2? GABRA3?
MOA_GRM2?_Q86YG3?	canonical	GRM2? Q86YG3?
MOA_P2RX7?	canonical	P2RX7?
MOA_STAT3?	canonical	STAT3?
MOA_EGFR?	canonical	EGFR?
MOA_ELANE?	canonical	ELANE?
MOA_CRHR1?_CRHR1?_CRHR1?_CRHR1?	canonical	CRHR1? CRHR1? CRHR1? CRHR1?
MOA_GCKR?	canonical	GCKR?
MOA_MCHR1?	canonical	MCHR1?
MOA_HTR1B?	canonical	HTR1B?
MOA_CCKAR?	canonical	CCKAR?
MOA_CCL2?	canonical	CCL2?
MOA_B4DK78?_CHRNA4?	canonical	B4DK78? CHRNA4?
MOA_CNR1?_CNR1?	canonical	CNR1? CNR1?
MOA_HRH1?_HRH3?_HRH3?	canonical	HRH1? HRH3? HRH3?
MOA_NOS2?	canonical	NOS2?
MOA_GUCA2B?	canonical	GUCA2B?
MOA_HTR7?	canonical	HTR7?
MOA_OPRL1?_Q8IXB0?	canonical	OPRL1? Q8IXB0?
MOA_DRD2?_DRD3?_HTR6?	canonical	DRD2? DRD3? HTR6?
MOA_ESR1?_ESR1?_ESR2?_Q9UBT1?	canonical	ESR1? ESR1? ESR2? Q9UBT1?
MOA_CNR2?	canonical	CNR2?
MOA_ESR2?	canonical	ESR2?
MOA_IL18?	canonical	IL18?
MOA_PDE5A?	canonical	PDE5A?
MOA_SLC6A9?	canonical	SLC6A9?
MOA_ALOX5?	canonical	ALOX5?
MOA_HTR4?	canonical	HTR4?
MOA_PGR?	canonical	PGR?
MOA_GHSR?	canonical	GHSR?
MOA_KCNN4?	canonical	KCNN4?
MOA_HTR2A?_HTR2C?_K9J958?	canonical	HTR2A? HTR2C? K9J958?
MOA_CTSS?	canonical	CTSS?
MOA_TRPV1?	canonical	TRPV1?
MOA_MMP2?	canonical	MMP2?
MOA_EDNRA?	canonical	EDNRA?
